"Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,4.000,57.000
0,4.000,60.000
0,4.000,70.000
0,5.000,47.000
0,5.000,57.000
0,5.000,60.000
0,5.000,70.000
0,7.000,47.000
0,7.000,57.000
0,7.000,60.000
0,7.000,70.000
0,9.000,47.000
0,9.000,57.000
0,9.000,60.000
0,9.000,70.000
0,10.000,47.000
0,10.000,57.000
0,10.000,60.000
0,10.000,70.000
0,0.000,0.000
90,4.000,47.000
90,4.000,57.000
90,4.000,60.000
90,4.000,70.000
90,5.000,47.000
90,5.000,57.000
90,5.000,60.000
90,5.000,70.000
90,7.000,47.000
90,7.000,57.000
90,7.000,60.000
90,7.000,70.000
90,9.000,47.000
90,9.000,57.000
90,9.000,60.000
90,9.000,70.000
90,10.000,47.000
90,10.000,57.000
90,10.000,60.000
90,10.000,70.000
0,7.856,64.302
0,7.402,19.251
0,6.676,78.623
0,7.526,38.177
0,8.326,46.045
0,7.656,33.571
0,10.303,39.234
0,8.947,72.085
0,3.747,57.998
0,9.094,44.802
0,6.304,72.152
0,7.258,50.220
0,6.548,74.219
0,6.146,70.355
0,10.051,74.157
0,9.913,71.145
0,5.647,75.952
0,6.255,32.879
0,7.310,63.861
0,5.257,67.183
0,2.303,65.808
0,6.794,47.295
0,6.281,72.293
0,4.985,38.307
0,6.191,31.804
0,7.783,54.634
0,13.199,66.363
0,5.083,50.406
0,10.623,47.550
0,4.796,37.405
0,5.183,79.514
0,7.422,58.239
0,4.546,63.326
0,5.081,62.422
0,8.489,23.898
0,4.568,52.641
0,9.246,40.608
0,11.644,34.930
0,6.845,49.754
0,7.984,51.059
0,4.516,45.967
0,5.764,73.354
0,2.081,58.913
0,8.725,67.012
0,6.581,29.949
0,4.764,70.495
0,6.304,58.402
0,5.593,84.841
0,9.025,55.974
0,10.118,71.595
0,10.992,38.115
0,10.330,64.570
0,7.017,48.668
0,7.534,37.495
0,7.388,45.460
0,11.892,49.362
0,9.196,49.130
0,9.454,38.754
0,1.450,54.989
0,4.402,48.959
0,4.513,46.775
0,7.207,41.388
0,9.593,35.882
0,9.312,71.488
0,0.240,69.153
0,7.860,72.129
0,7.364,69.172
0,10.370,76.170
0,6.708,49.243
0,9.903,45.319
0,3.709,78.380
0,6.583,50.052
0,4.378,84.133
0,9.453,52.392
0,14.051,74.469
0,6.588,34.408
0,5.681,70.745
0,7.191,92.042
0,5.868,59.620
0,6.232,77.140
0,7.568,57.061
0,1.735,67.487
0,5.537,66.849
0,5.136,42.323
0,4.004,35.281
0,4.296,40.238
0,7.007,66.547
0,5.455,32.776
0,7.175,49.161
0,4.930,38.286
0,8.965,66.720
0,2.272,45.714
0,4.488,45.560
0,4.607,66.669
0,6.698,64.798
0,0.311,70.157
0,5.356,40.234
0,6.847,39.271
0,4.646,74.899
0,11.375,51.237
0,5.507,98.203
0,2.512,50.303
0,4.806,67.243
0,7.151,48.316
0,10.129,50.260
0,8.425,40.734
0,11.503,54.591
0,3.194,70.183
0,4.571,78.547
0,4.036,60.330
0,6.575,35.080
0,7.422,60.049
0,7.557,58.733
0,2.271,60.831
0,5.167,47.265
0,8.489,57.849
0,12.045,62.206
0,5.386,39.489
0,1.148,65.945
0,6.782,43.338
0,0.390,51.570
0,5.511,67.615
0,5.903,72.575
0,4.247,28.757
0,10.873,32.195
0,5.665,88.072
0,2.710,71.027
0,6.535,36.682
0,9.338,53.457
0,6.894,86.012
0,4.410,75.628
0,9.626,37.351
0,7.208,35.769
0,5.117,34.782
0,4.549,75.115
0,3.687,44.369
0,4.271,82.724
0,9.349,37.288
0,4.627,52.418
0,3.717,54.606
0,4.904,49.899
0,5.774,65.523
0,9.419,52.512
0,10.322,53.604
0,5.871,73.181
0,5.783,36.911
0,6.969,61.290
0,7.482,36.006
0,3.112,28.662
0,5.477,64.214
0,11.471,35.005
0,6.653,39.235
0,8.147,38.152
0,9.993,92.963
0,6.999,58.986
0,5.871,47.875
0,4.215,55.767
0,1.492,42.239
0,9.501,57.557
0,7.000,56.727
0,11.137,37.407
0,11.832,71.819
0,6.359,57.695
0,7.079,78.179
0,8.905,78.994
0,13.246,77.464
0,8.114,49.064
0,9.138,52.364
0,3.906,50.742
0,9.476,80.469
0,7.522,61.522
0,12.288,73.045
0,7.500,36.039
0,4.004,59.796
0,8.320,56.791
0,3.911,40.356
0,0.145,54.139
0,2.512,75.348
0,13.732,64.510
0,6.378,46.077
0,7.962,63.665
0,5.076,70.980
0,10.751,74.094
0,6.854,45.454
0,5.802,73.541
0,4.229,33.939
0,5.178,47.358
0,6.625,43.354
0,7.088,83.184
0,8.924,72.954
0,6.851,45.148
0,7.589,43.996
0,1.971,67.057
0,12.012,20.572
0,8.120,56.569
0,6.389,76.674
0,9.231,55.859
0,7.181,30.883
0,4.164,62.966
0,6.977,69.071
0,6.423,62.679
0,5.602,74.403
0,4.135,47.408
0,8.281,46.080
0,8.674,66.167
0,8.772,72.417
0,3.641,65.326
0,8.566,85.987
0,6.911,43.908
0,2.438,53.972
0,7.194,54.673
0,9.392,46.008
0,7.110,60.196
0,1.694,69.251
0,7.438,47.627
0,6.385,61.434
0,8.831,55.305
0,5.722,71.173
0,7.181,50.348
0,3.021,56.973
0,2.979,59.874
0,6.307,28.238
0,4.409,53.896
0,10.199,60.632
0,2.841,76.390
0,9.292,29.746
0,13.654,65.153
0,7.044,55.662
0,4.804,79.932
0,8.263,47.561
0,12.279,53.715
0,2.868,55.480
0,6.703,48.331
0,10.047,46.843
0,7.407,62.806
0,2.095,61.380
0,10.300,78.443
0,6.211,69.937
0,0.939,78.429
0,2.788,11.740
0,9.059,31.674
0,5.577,56.840
0,5.301,51.274
0,4.848,56.693
0,4.186,31.218
0,7.016,67.449
0,6.968,62.228
0,11.361,50.032
0,3.711,53.112
0,8.369,36.771
0,4.770,61.964
0,9.556,58.099
0,6.630,50.364
0,7.956,53.924
0,7.716,59.337
0,3.254,35.514
0,5.189,67.453
0,2.512,56.271
0,4.650,63.957
0,3.175,39.659
0,8.719,43.306
0,7.581,54.735
0,12.724,68.647
0,4.962,55.261
0,2.981,49.516
0,7.625,54.839
0,8.040,52.231
0,11.822,58.825
0,9.675,60.163
0,9.397,25.683
0,7.502,71.570
0,7.775,61.421
0,6.438,43.616
0,7.401,66.919
0,6.526,42.254
0,7.653,41.003
0,8.560,58.272
0,8.183,53.264
0,1.262,46.254
0,5.364,54.581
0,5.991,48.636
0,6.184,35.816
0,5.113,67.064
0,7.035,69.356
0,9.512,58.196
0,7.065,70.093
0,3.304,47.488
0,6.721,62.013
0,6.337,59.230
0,3.112,45.097
0,5.042,63.795
0,5.983,57.628
0,11.705,32.148
0,6.485,39.334
0,7.749,57.920
0,6.485,62.221
0,10.188,57.615
0,9.096,55.158
0,9.390,40.251
0,11.565,69.517
0,6.656,62.396
0,5.058,36.077
0,6.033,66.066
0,2.897,65.100
0,8.358,66.357
0,2.237,50.400
0,10.068,39.141
0,4.894,42.220
0,5.524,23.143
0,1.566,40.472
0,8.606,39.453
0,8.099,34.658
0,5.982,57.533
0,10.239,77.278
0,8.570,51.240
0,6.864,72.017
0,7.130,67.566
0,7.358,49.361
0,7.377,64.462
0,10.796,70.769
0,9.718,52.698
0,5.940,78.848
0,2.184,56.140
0,5.140,39.041
0,7.160,65.951
0,2.216,60.922
0,7.465,41.246
0,6.117,45.542
0,6.511,54.069
0,8.665,27.019
0,8.779,43.710
0,2.786,70.923
0,10.403,70.170
0,6.819,63.078
0,5.908,55.948
0,6.777,49.697
0,7.260,53.416
0,9.699,79.808
0,7.317,33.326
0,5.154,77.356
0,8.466,50.636
0,8.780,64.057
0,4.447,53.049
0,10.546,26.647
0,4.995,54.334
0,9.328,82.956
0,9.161,84.311
0,6.651,62.726
0,7.304,52.922
0,3.449,27.273
0,7.583,65.180
0,3.987,57.342
0,14.441,47.713
0,9.542,36.570
0,5.312,73.294
0,7.799,37.192
0,5.472,59.029
0,3.426,39.654
0,6.749,57.164
0,4.539,63.562
0,11.854,61.239
0,8.356,64.523
0,8.750,47.176
0,6.542,46.238
0,3.570,64.041
0,7.708,55.619
0,6.905,58.523
0,12.635,37.547
0,5.079,82.750
0,9.424,78.494
0,10.873,76.946
0,4.997,54.514
0,9.583,55.278
0,3.709,49.603
0,6.371,52.422
0,5.198,61.436
0,5.315,56.004
0,3.682,82.011
0,7.823,60.371
0,13.379,50.934
0,9.786,56.095
0,8.710,66.635
0,4.720,43.796
0,8.758,54.076
0,3.091,52.261
0,5.131,35.439
0,6.105,27.892
0,7.384,69.437
0,6.937,66.339
0,8.534,70.817
0,8.663,37.933
0,3.930,43.082
0,3.632,43.831
0,6.251,60.432
0,10.111,80.918
0,6.286,50.709
0,9.653,62.125
0,7.069,83.957
0,8.675,15.416
0,6.766,46.974
0,5.481,54.781
0,1.255,63.104
0,4.596,68.464
0,7.615,43.835
0,3.718,48.955
0,4.298,72.556
0,14.033,52.004
0,7.539,52.247
0,5.476,62.186
0,7.818,85.661
0,7.552,62.042
0,1.417,62.846
0,5.961,57.383
0,12.452,44.472
0,9.338,48.015
0,3.403,63.436
0,2.069,39.099
0,12.502,79.856
0,9.620,65.152
0,9.545,77.507
0,9.476,80.810
0,7.193,17.934
0,4.112,69.025
0,6.708,41.984
0,4.447,103.989
0,5.897,88.808
0,5.988,24.861
0,2.801,74.783
0,8.586,79.737
0,8.609,43.815
0,7.391,51.709
0,10.081,45.168
0,9.938,46.015
0,7.237,80.029
0,10.782,43.907
0,5.965,53.597
0,2.710,32.766
0,1.598,55.495
0,13.572,60.756
0,5.537,69.819
0,7.928,37.327
0,6.605,24.284
0,6.257,70.039
0,5.537,66.056
0,5.723,63.184
0,10.100,41.406
0,6.505,59.304
0,10.466,82.525
0,6.517,37.763
0,5.030,47.431
0,8.003,50.362
0,8.131,44.398
0,7.650,33.846
0,0.572,36.629
0,6.063,80.743
0,8.717,69.800
0,6.640,26.560
0,0.730,84.015
0,11.696,64.409
0,1.627,51.830
0,8.145,73.273
0,6.536,56.761
0,8.648,41.092
0,8.815,52.134
0,5.267,37.951
0,1.280,50.323
0,3.207,62.668
0,10.905,46.756
0,2.860,89.877
0,12.679,51.079
0,5.227,57.255
0,7.149,57.676
0,8.729,28.972
0,12.179,45.760
0,10.512,53.236
0,10.247,65.443
0,8.754,50.099
0,7.260,57.095
0,5.365,72.401
0,3.516,28.382
0,4.591,50.329
0,5.852,84.669
0,12.433,63.230
0,5.545,54.604
0,4.908,48.036
0,5.333,44.181
0,8.916,53.477
0,6.077,49.456
0,6.703,54.588
0,14.376,46.453
0,5.288,33.851
0,3.035,31.797
0,8.103,62.698
0,12.354,55.617
0,7.254,60.094
0,4.787,53.249
0,3.481,74.886
0,5.730,64.447
0,10.740,49.159
0,6.066,56.798
90,6.806,57.286
90,8.016,70.036
90,5.947,56.228
90,7.383,64.181
90,8.479,65.264
90,7.349,77.645
90,6.025,49.631
90,11.424,44.292
90,9.379,49.541
90,7.175,58.401
90,6.433,55.384
90,6.384,43.824
90,7.863,53.551
90,8.307,62.202
90,7.628,64.196
90,4.244,66.668
90,6.701,51.952
90,6.435,55.770
90,8.586,55.064
90,5.709,50.556
90,4.840,72.532
90,11.052,63.710
90,5.790,56.158
90,11.313,66.087
90,4.831,57.205
90,6.224,47.385
90,7.468,64.855
90,7.223,74.685
90,7.454,54.932
90,5.936,62.326
90,8.613,62.127
90,3.930,51.784
90,6.928,55.051
90,4.359,54.810
90,8.121,63.980
90,10.858,73.892
90,7.254,54.715
90,5.156,63.994
90,9.559,70.852
90,5.005,70.665
90,8.788,49.845
90,9.444,56.046
90,9.315,57.961
90,3.703,54.093
90,0.269,75.341
90,7.933,46.944
90,4.532,68.337
90,9.752,59.888
90,6.048,50.654
90,7.809,63.138
90,7.765,60.986
90,6.983,61.338
90,8.100,54.844
90,4.520,63.839
90,6.002,42.318
90,7.678,58.692
90,6.085,58.973
90,8.237,46.576
90,6.756,42.868
90,3.442,62.124
90,5.913,68.577
90,8.382,53.328
90,1.701,72.210
90,5.379,63.489
90,10.265,73.738
90,8.140,56.326
90,4.076,57.500
90,5.802,69.436
90,10.155,63.195
90,11.650,62.110
90,6.027,76.381
90,5.860,61.891
90,6.374,56.332
90,5.549,52.714
90,7.208,68.741
90,8.063,69.034
90,4.398,57.207
90,10.375,45.837
90,8.776,58.451
90,7.620,47.066
90,6.122,59.815
90,10.421,62.674
90,2.470,63.943
90,6.829,58.165
90,4.789,51.734
90,7.318,48.090
90,7.956,75.919
90,10.371,62.736
90,5.301,55.064
90,6.892,55.521
90,7.258,52.516
90,10.205,72.907
90,3.984,46.427
90,4.264,51.219
90,4.898,59.729
90,8.231,46.367
90,7.073,52.400
90,6.294,58.830
90,11.420,52.604
90,8.949,61.544
90,4.945,51.945
90,8.244,49.245
90,5.876,40.181
90,9.579,71.235
90,7.941,61.511
90,3.851,53.583
90,8.791,70.645
90,6.128,54.435
90,7.695,56.365
90,4.486,52.236
90,2.713,56.280
90,4.411,54.046
90,7.922,63.964
90,8.984,62.285
90,3.637,61.323
90,13.375,71.332
90,7.946,61.798
90,12.954,55.967
90,4.908,62.736
90,10.946,66.723
90,7.628,64.056
90,4.604,66.377
90,6.428,50.713
90,3.068,56.424
90,7.191,47.985
90,6.165,50.824
90,4.394,48.127
90,4.864,66.902
90,8.986,53.928
90,4.947,58.284
90,9.514,50.209
90,4.304,47.316
90,9.058,68.253
90,8.160,58.039
90,0.306,73.390
90,5.367,58.355
90,6.273,47.322
90,10.989,43.849
90,4.091,60.578
90,4.513,62.475
90,7.447,69.653
90,5.985,64.181
90,5.205,50.573
90,7.069,64.553
90,4.447,56.261
90,11.655,55.017
90,8.508,66.487
90,5.931,51.434
90,10.597,72.371
90,8.262,47.814
90,6.931,47.989
90,6.260,50.735
90,8.503,64.598
90,4.202,62.512
90,3.393,60.138
90,3.657,49.995
90,7.575,63.482
90,7.616,64.619
90,10.853,54.194
90,7.519,72.813
90,8.101,65.497
90,9.128,54.496
90,4.395,47.043
90,4.063,61.765
90,4.685,58.608
90,6.633,55.352
90,8.029,59.299
90,9.253,57.882
90,5.959,49.259
90,10.883,67.231
90,9.845,57.444
90,7.732,57.870
90,7.785,59.837
90,3.269,67.039
90,6.709,52.367
90,10.199,63.742
90,9.282,45.465
90,5.867,56.209
90,4.846,50.953
90,11.946,61.486
90,9.184,65.790
90,7.769,67.045
90,10.595,64.509
90,12.403,64.579
90,6.087,80.032
90,3.338,50.548
90,6.125,61.461
90,7.065,51.144
90,9.940,68.968
90,8.032,55.632
90,6.801,62.270
90,5.226,51.915
90,6.916,41.554
90,8.885,56.016
90,8.682,56.792
90,4.386,59.485
90,4.499,67.705
90,4.497,57.537
90,8.225,60.409
90,4.509,52.116
90,6.786,67.327
90,5.167,49.197
90,8.067,54.297
90,5.799,62.935
90,7.551,55.850
90,4.026,54.838
90,4.055,65.577
90,10.286,61.663
90,3.493,65.716
90,6.023,53.592
90,7.084,52.844
90,8.285,60.030
90,10.519,53.804
90,5.264,63.378
90,4.846,64.481
90,7.213,50.353
90,7.140,48.347
90,3.163,49.468
90,8.114,72.785
90,5.376,52.977
90,13.371,49.178
90,7.409,55.403
90,3.456,62.789
90,8.223,56.832
90,10.388,68.467
90,8.553,58.722
90,4.966,61.411
90,3.980,43.107
90,8.301,43.707
90,7.890,57.603
90,5.109,55.227
90,8.316,64.195
90,8.293,62.231
90,4.358,69.887
90,3.757,61.101
90,9.917,53.197
90,7.687,61.412
90,8.551,59.168
90,6.626,59.522
90,5.503,59.223
90,3.882,70.904
90,4.816,66.443
90,9.710,63.467
90,2.638,53.766
90,4.331,71.673
90,6.555,60.322
90,7.232,66.934
90,4.699,70.931
90,8.284,62.979
90,6.726,43.533
90,7.646,55.137
90,5.256,46.966
90,6.634,58.915
90,5.934,49.580
90,4.397,42.674
90,11.079,60.533
90,10.027,62.612
90,2.043,64.517
90,4.185,50.109
90,6.732,74.109
90,6.412,60.879
90,9.934,48.057
90,7.275,65.260
90,7.629,52.488
90,7.184,67.053
90,7.010,66.165
90,7.859,64.358
90,3.656,41.309
90,13.485,51.306
90,7.893,55.038
90,6.237,50.031
90,6.432,53.806
90,6.999,59.740
90,6.511,68.664
90,9.314,50.850
90,5.030,66.587
90,5.070,50.578
90,9.129,58.605
90,7.408,54.044
90,2.420,55.326
90,11.046,68.112
90,8.057,56.399
90,2.592,39.339
90,5.417,45.708
90,9.031,52.962
90,7.764,48.866
90,4.512,70.897
90,7.936,59.695
90,7.610,51.690
90,5.424,55.608
90,7.961,66.760
90,10.067,56.038
90,3.986,66.040
90,5.950,67.275
90,5.431,63.493
90,11.704,53.744
90,9.343,72.245
90,3.715,55.748
90,10.387,52.762
90,5.732,58.872
90,6.756,58.560
90,11.062,59.789
90,8.585,43.919
90,8.703,61.561
90,3.616,48.586
90,3.199,53.759
90,12.124,49.725
90,12.656,59.474
90,7.774,65.751
90,9.786,60.921
90,6.447,56.823
90,4.434,52.985
90,6.074,48.818
90,9.083,51.912
90,5.872,56.891
90,7.362,64.312
90,9.006,65.733
90,9.571,64.622
90,4.692,50.859
90,8.614,49.637
90,7.857,60.200
90,4.994,60.904
90,3.444,74.828
90,10.546,52.505
90,9.074,41.229
90,7.344,61.002
90,8.094,64.799
90,8.888,51.812
90,9.670,54.824
90,6.785,66.540
90,4.885,57.565
90,1.763,72.825
90,6.983,54.904
90,7.094,71.526
90,9.076,59.940
90,7.083,68.404
90,6.506,62.661
90,8.596,47.824
90,9.228,46.419
90,10.770,60.801
90,7.548,52.777
90,7.260,62.728
90,6.350,64.917
90,4.315,51.979
90,4.088,50.860
90,3.640,50.281
90,5.703,42.771
90,6.282,59.227
90,10.031,67.971
90,7.472,56.653
90,8.300,59.564
90,7.199,65.292
90,8.745,50.323
90,5.735,63.951
90,7.145,43.427
90,7.019,68.973
90,7.696,47.171
90,5.839,73.345
90,4.748,59.143
90,3.499,50.456
90,8.697,70.524
90,4.722,56.084
90,7.684,58.470
90,9.835,50.325
90,5.536,70.675
90,11.423,58.791
90,2.806,53.792
90,4.977,67.110
90,4.603,54.469
90,7.521,66.619
90,6.393,53.489
90,7.382,63.071
90,7.776,68.608
90,10.815,43.737
90,7.556,57.828
90,6.096,58.572
90,7.244,59.825
90,5.820,64.973
90,11.495,58.843
90,6.625,66.959
90,8.586,57.315
90,3.311,56.770
90,5.660,58.864
90,6.077,75.436
90,6.759,60.889
90,6.232,59.239
90,7.039,43.926
90,6.939,57.670
90,7.322,52.938
90,12.837,64.057
90,8.066,62.359
90,3.191,40.080
90,10.059,63.333
90,7.931,48.731
90,6.861,62.033
90,11.392,52.887
90,0.038,59.157
90,8.651,71.108
90,6.886,62.785
90,6.260,54.933
90,8.356,53.758
90,5.207,53.460
90,8.273,65.028
90,1.525,77.909
90,4.645,65.505
90,5.706,52.100
90,6.947,69.746
90,8.432,52.639
90,8.582,53.317
90,3.982,50.274
90,6.271,60.483
90,5.264,70.828
90,5.249,58.738
90,9.243,63.651
90,6.176,57.627
90,9.231,54.660
90,8.462,51.986
90,8.077,65.622
90,6.845,65.130
90,5.244,59.012
90,6.067,49.209
90,9.902,67.719
90,3.763,49.644
90,7.279,43.104
90,7.411,50.569
90,6.011,60.034
90,6.739,48.718
90,6.748,46.588
90,6.173,78.543
90,5.618,52.353
90,4.517,48.265
90,4.911,62.646
90,7.220,60.980
90,4.995,66.357
90,3.489,48.773
90,6.210,59.474
90,6.197,63.846
90,5.317,72.460
90,9.978,55.375
90,9.043,67.255
90,7.590,56.204
90,2.890,66.259
90,9.427,64.510
90,5.612,58.655
90,5.114,61.998
90,11.062,74.288
90,8.403,60.005
90,9.331,56.349
90,6.545,51.482
90,7.828,65.077
90,11.443,54.363
90,3.609,46.010
90,7.798,49.459
90,6.909,63.737
90,8.785,54.228
90,6.757,60.064
90,7.627,45.148
90,5.653,53.623
90,7.813,62.702
90,4.844,40.734
90,4.212,71.961
90,10.451,71.574
90,5.224,62.266
90,7.018,49.876
90,2.751,63.682
90,8.448,58.777
90,2.455,43.073
90,5.931,52.987
90,6.892,50.210
90,8.308,56.880
90,4.852,77.637
90,7.636,60.924
90,8.014,55.150
90,7.683,62.785
90,5.049,59.838
90,5.240,52.045
90,8.057,47.067
90,8.737,60.278
90,9.076,47.020
90,10.566,53.751
90,4.161,67.630
90,6.313,58.261
90,6.079,77.434
90,5.859,54.205
90,7.608,79.843
90,8.591,55.404
90,3.866,54.816
90,6.848,75.570
90,8.194,56.545
90,10.317,79.080
90,3.490,58.828
90,8.212,52.074
90,7.202,61.097
90,8.430,68.356
90,6.711,54.059
90,8.088,47.759
90,7.619,66.932
90,9.801,72.858
90,10.080,65.519
90,9.021,66.920
